name    condition
NPCs_Control_rep1.genome2   control_g2
NPCs_Control_rep2.genome2   control_g2
NPCs_Control_rep3.genome2   control_g2
NPCs_MSL2KO1_rep1.genome2   ko_g2
NPCs_MSL2KO1_rep2.genome2   ko_g2
NPCs_MSL2KO1_rep3.genome2   ko_g2
NPCs_MSL2KO2_rep1.genome2   ko_g2
NPCs_MSL2KO2_rep2.genome2   ko_g2
NPCs_MSL2KO2_rep3.genome2   ko_g2
