name    condition
NPCs_Control_ATACseq_rep1.genome1   control_g1
NPCs_Control_ATACseq_rep2.genome1   control_g1
NPCs_Control_ATACseq_rep3.genome1   control_g1
NPCs_Control_ATACseq_rep1.genome2   control_g2
NPCs_Control_ATACseq_rep2.genome2   control_g2
NPCs_Control_ATACseq_rep3.genome2   control_g2
