name    condition
NPCs_Control_unlabeledTTseq_rep1  control
NPCs_Control_unlabeledTTseq_rep2  control
NPCs_MSL2KO1_unlabeledTTseq_rep1  test
NPCs_MSL2KO1_unlabeledTTseq_rep2  test
NPCs_MSL2KO1_unlabeledTTseq_rep3  test
NPCs_MSL2KO2_unlabeledTTseq_rep1  test
NPCs_MSL2KO2_unlabeledTTseq_rep2  test
NPCs_MSL2KO2_ungenome1labeledTTseq_rep3  test
