name    condition
NPCs_MSL2KO2_MOF_rep1.genome1   control
NPCs_MSL2KO2_MOF_rep2.genome1   control
NPCs_MSL2KO2_MOF_rep1.genome2   test
NPCs_MSL2KO2_MOF_rep2.genome2   test
