name    condition
NPCs_Control_MOF_rep1.genome2   control
NPCs_Control_MOF_rep2.genome2   control
NPCs_MSL2KO1_MOF_rep1.genome2   test
NPCs_MSL2KO1_MOF_rep2.genome2   test
NPCs_MSL2KO2_MOF_rep1.genome2   test
NPCs_MSL2KO2_MOF_rep2.genome2   test
